v8-version,5,8,283,41,0
code-creation,Stub,16,0x3c75da7d1f60,208,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2040,276,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2160,208,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2240,208,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,16,0x3c75da7d2320,208,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2400,276,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2520,208,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,16,0x3c75da7d2600,208,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d26e0,232,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d27e0,304,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,16,0x3c75da7d2920,304,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2a60,232,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d2b60,216,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,16,0x3c75da7d2c40,403,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,16,0x3c75da7d2de0,216,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,16,0x3c75da7d2ec0,403,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,16,0x3c75da7d3060,435,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,16,0x3c75da7d3220,403,"BinaryOpICStub(SUB:Number*Smi->Number)"
tick,0x7fd9f8c492ad,141091,0,(nil),4
code-creation,Stub,16,0x3c75da7d33c0,216,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,16,0x3c75da7d34a0,403,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,16,0x3c75da7d3640,216,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,16,0x3c75da7d3720,272,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,16,0x3c75da7d3840,272,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,16,0x3c75da7d3960,272,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,16,0x3c75da7d3a80,272,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,16,0x3c75da7d3ba0,272,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,16,0x3c75da7d3cc0,280,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,3,0x3c75da7d3de0,2202,"RecordWriteStub"
code-creation,Stub,4,0x3c75da7d4680,304,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d47c0,732,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d4aa0,256,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d4ba0,688,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d4e60,256,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d4f60,688,"StoreFastElementStub"
tick,0xc1ea5c,142168,0,(nil),4
code-creation,Stub,4,0x3c75da7d5220,304,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d5360,744,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d5660,304,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d57a0,744,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d5aa0,292,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d5be0,780,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d5f00,292,"StoreFastElementStub"
code-creation,Stub,4,0x3c75da7d6040,780,"StoreFastElementStub"
code-creation,Stub,3,0x3c75da7d6360,342,"JSEntryStub"
code-creation,Stub,3,0x3c75da7d64c0,342,"JSConstructEntryStub"
code-creation,BytecodeHandler,2,0x3c75da7d6620,128,"Wide"
code-creation,BytecodeHandler,2,0x3c75da7d66a0,128,"ExtraWide"
code-creation,BytecodeHandler,2,0x3c75da7d6720,164,"LdaZero"
code-creation,BytecodeHandler,2,0x3c75da7d67e0,168,"LdaSmi"
code-creation,BytecodeHandler,2,0x3c75da7d68a0,172,"LdaUndefined"
tick,0x7fd9f8c492ad,143264,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7d6960,172,"LdaNull"
code-creation,BytecodeHandler,2,0x3c75da7d6a20,172,"LdaTheHole"
code-creation,BytecodeHandler,2,0x3c75da7d6ae0,124,"LdaTrue"
code-creation,BytecodeHandler,2,0x3c75da7d6b60,124,"LdaFalse"
code-creation,BytecodeHandler,2,0x3c75da7d6be0,172,"LdaConstant"
code-creation,BytecodeHandler,2,0x3c75da7d6ca0,1296,"LdaGlobal"
code-creation,BytecodeHandler,2,0x3c75da7d71c0,1184,"LdaGlobalInsideTypeof"
code-creation,BytecodeHandler,2,0x3c75da7d7660,275,"StaGlobalSloppy"
code-creation,BytecodeHandler,2,0x3c75da7d7780,275,"StaGlobalStrict"
code-creation,BytecodeHandler,2,0x3c75da7d78a0,140,"PushContext"
code-creation,BytecodeHandler,2,0x3c75da7d7940,136,"PopContext"
code-creation,BytecodeHandler,2,0x3c75da7d79e0,224,"LdaContextSlot"
tick,0x1293f04,144333,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7d7ac0,184,"LdaImmutableContextSlot"
code-creation,BytecodeHandler,2,0x3c75da7d7b80,176,"LdaCurrentContextSlot"
code-creation,BytecodeHandler,2,0x3c75da7d7c40,140,"LdaImmutableCurrentContextSlot"
code-creation,Stub,3,0x3c75da7d7ce0,1412,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7d8280,244,"StaContextSlot"
code-creation,Stub,3,0x3c75da7d8380,1412,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7d8920,196,"StaCurrentContextSlot"
code-creation,BytecodeHandler,2,0x3c75da7d8a00,239,"LdaLookupSlot"
code-creation,BytecodeHandler,2,0x3c75da7d8b00,339,"LdaLookupContextSlot"
code-creation,BytecodeHandler,2,0x3c75da7d8c60,1368,"LdaLookupGlobalSlot"
code-creation,BytecodeHandler,2,0x3c75da7d91c0,239,"LdaLookupSlotInsideTypeof"
code-creation,BytecodeHandler,2,0x3c75da7d92c0,339,"LdaLookupContextSlotInsideTypeof"
tick,0xce1253,145416,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7d9420,1348,"LdaLookupGlobalSlotInsideTypeof"
code-creation,BytecodeHandler,2,0x3c75da7d9980,239,"StaLookupSlotSloppy"
code-creation,BytecodeHandler,2,0x3c75da7d9a80,239,"StaLookupSlotStrict"
code-creation,BytecodeHandler,2,0x3c75da7d9b80,132,"Ldar"
code-creation,BytecodeHandler,2,0x3c75da7d9c20,132,"Star"
code-creation,BytecodeHandler,2,0x3c75da7d9cc0,144,"Mov"
code-creation,BytecodeHandler,2,0x3c75da7d9d60,291,"LdaNamedProperty"
code-creation,BytecodeHandler,2,0x3c75da7d9ea0,295,"LdaKeyedProperty"
code-creation,BytecodeHandler,2,0x3c75da7d9fe0,224,"LdaModuleVariable"
code-creation,BytecodeHandler,2,0x3c75da7da0c0,379,"StaModuleVariable"
code-creation,BytecodeHandler,2,0x3c75da7da240,279,"StaNamedPropertySloppy"
code-creation,BytecodeHandler,2,0x3c75da7da360,279,"StaNamedPropertyStrict"
code-creation,BytecodeHandler,2,0x3c75da7da480,279,"StaNamedOwnProperty"
code-creation,BytecodeHandler,2,0x3c75da7da5a0,271,"StaKeyedPropertySloppy"
code-creation,BytecodeHandler,2,0x3c75da7da6c0,271,"StaKeyedPropertyStrict"
code-creation,BytecodeHandler,2,0x3c75da7da7e0,299,"StaDataPropertyInLiteral"
tick,0xcedf51,146472,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7da920,996,"Add"
code-creation,BytecodeHandler,2,0x3c75da7dad20,756,"Sub"
code-creation,BytecodeHandler,2,0x3c75da7db020,1164,"Mul"
code-creation,BytecodeHandler,2,0x3c75da7db4c0,928,"Div"
code-creation,BytecodeHandler,2,0x3c75da7db860,1088,"Mod"
tick,0xbf3439,147568,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7dbca0,840,"BitwiseOr"
code-creation,BytecodeHandler,2,0x3c75da7dc000,840,"BitwiseXor"
code-creation,BytecodeHandler,2,0x3c75da7dc360,840,"BitwiseAnd"
code-creation,BytecodeHandler,2,0x3c75da7dc6c0,856,"ShiftLeft"
code-creation,BytecodeHandler,2,0x3c75da7dca20,856,"ShiftRight"
tick,0xcbfd0d,148644,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7dcd80,1088,"ShiftRightLogical"
code-creation,Stub,3,0x3c75da7dd1c0,737,"AddWithFeedbackStub"
code-creation,BytecodeHandler,2,0x3c75da7dd4c0,367,"AddSmi"
code-creation,Stub,3,0x3c75da7dd640,598,"SubtractWithFeedbackStub"
code-creation,BytecodeHandler,2,0x3c75da7dd8a0,367,"SubSmi"
code-creation,BytecodeHandler,2,0x3c75da7dda20,524,"BitwiseOrSmi"
code-creation,BytecodeHandler,2,0x3c75da7ddc40,524,"BitwiseAndSmi"
code-creation,BytecodeHandler,2,0x3c75da7dde60,528,"ShiftLeftSmi"
code-creation,BytecodeHandler,2,0x3c75da7de080,528,"ShiftRightSmi"
tick,0x7fd9f8bd3ba5,149729,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7de2a0,692,"Inc"
code-creation,BytecodeHandler,2,0x3c75da7de560,696,"Dec"
code-creation,BytecodeHandler,2,0x3c75da7de820,276,"ToBooleanLogicalNot"
code-creation,BytecodeHandler,2,0x3c75da7de940,144,"LogicalNot"
code-creation,BytecodeHandler,2,0x3c75da7de9e0,360,"TypeOf"
code-creation,BytecodeHandler,2,0x3c75da7deb60,235,"DeletePropertyStrict"
code-creation,BytecodeHandler,2,0x3c75da7dec60,235,"DeletePropertySloppy"
code-creation,BytecodeHandler,2,0x3c75da7ded60,223,"GetSuperConstructor"
code-creation,Stub,3,0x3c75da7dee40,948,"RecordWriteStub"
code-creation,Stub,3,0x3c75da7df200,2190,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7dfaa0,1452,"Call"
tick,0xce3ee1,150812,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e0060,1452,"CallProperty"
code-creation,BytecodeHandler,2,0x3c75da7e0620,223,"CallWithSpread"
code-creation,BytecodeHandler,2,0x3c75da7e0700,1412,"TailCall"
code-creation,Stub,3,0x3c75da7e0ca0,365,"CEntryStub"
code-creation,BytecodeHandler,2,0x3c75da7e0e20,235,"CallRuntime"
code-creation,Stub,3,0x3c75da7e0f20,365,"CEntryStub"
code-creation,BytecodeHandler,2,0x3c75da7e10a0,267,"CallRuntimeForPair"
code-creation,BytecodeHandler,2,0x3c75da7e11c0,231,"CallJSRuntime"
code-creation,BytecodeHandler,2,0x3c75da7e12c0,1452,"InvokeIntrinsic"
tick,0xcedf40,151895,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e1880,1444,"Construct"
code-creation,BytecodeHandler,2,0x3c75da7e1e40,267,"ConstructWithSpread"
code-creation,BytecodeHandler,2,0x3c75da7e1f60,2424,"TestEqual"
tick,0xcfbceb,152998,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e28e0,2376,"TestNotEqual"
code-creation,BytecodeHandler,2,0x3c75da7e3240,843,"TestEqualStrict"
tick,0xce3ea0,154111,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e35a0,1540,"TestLessThan"
code-creation,BytecodeHandler,2,0x3c75da7e3bc0,1540,"TestGreaterThan"
code-creation,BytecodeHandler,2,0x3c75da7e41e0,1540,"TestLessThanOrEqual"
tick,0x7fd9f8b9c716,155225,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e4800,1540,"TestGreaterThanOrEqual"
code-creation,BytecodeHandler,2,0x3c75da7e4e20,680,"TestInstanceOf"
tick,0xce3a98,156322,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e50e0,1907,"TestIn"
code-creation,BytecodeHandler,2,0x3c75da7e5860,168,"TestUndetectable"
code-creation,BytecodeHandler,2,0x3c75da7e5920,156,"TestNull"
code-creation,BytecodeHandler,2,0x3c75da7e59c0,156,"TestUndefined"
code-creation,BytecodeHandler,2,0x3c75da7e5a60,350,"ToName"
code-creation,BytecodeHandler,2,0x3c75da7e5bc0,533,"ToNumber"
code-creation,BytecodeHandler,2,0x3c75da7e5de0,227,"ToObject"
code-creation,BytecodeHandler,2,0x3c75da7e5ee0,458,"CreateRegExpLiteral"
tick,0xce8334,157426,0,(nil),4
code-creation,Stub,3,0x3c75da7e60c0,2178,"RecordWriteStub"
code-creation,Stub,3,0x3c75da7e6960,944,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7e6d20,1520,"CreateArrayLiteral"
code-creation,BytecodeHandler,2,0x3c75da7e7320,660,"CreateObjectLiteral"
code-creation,BytecodeHandler,2,0x3c75da7e75c0,800,"CreateClosure"
code-creation,BytecodeHandler,2,0x3c75da7e78e0,227,"CreateBlockContext"
code-creation,BytecodeHandler,2,0x3c75da7e79e0,263,"CreateCatchContext"
code-creation,BytecodeHandler,2,0x3c75da7e7b00,412,"CreateFunctionContext"
code-creation,BytecodeHandler,2,0x3c75da7e7ca0,412,"CreateEvalContext"
tick,0x7fd9f8bd619c,158591,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7e7e40,243,"CreateWithContext"
code-creation,Stub,3,0x3c75da7e7f40,2201,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7e87e0,1520,"CreateMappedArguments"
code-creation,Stub,3,0x3c75da7e8de0,2177,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7e9680,908,"CreateUnmappedArguments"
code-creation,Stub,3,0x3c75da7e9a20,2189,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7ea2c0,936,"CreateRestParameter"
tick,0xce0bc0,159630,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7ea680,480,"JumpLoop"
code-creation,BytecodeHandler,2,0x3c75da7ea860,255,"Jump"
code-creation,BytecodeHandler,2,0x3c75da7ea960,263,"JumpConstant"
code-creation,BytecodeHandler,2,0x3c75da7eaa80,295,"JumpIfNullConstant"
code-creation,BytecodeHandler,2,0x3c75da7eabc0,295,"JumpIfUndefinedConstant"
code-creation,BytecodeHandler,2,0x3c75da7ead00,295,"JumpIfTrueConstant"
code-creation,BytecodeHandler,2,0x3c75da7eae40,295,"JumpIfFalseConstant"
code-creation,BytecodeHandler,2,0x3c75da7eaf80,311,"JumpIfJSReceiverConstant"
code-creation,BytecodeHandler,2,0x3c75da7eb0c0,295,"JumpIfNotHoleConstant"
code-creation,BytecodeHandler,2,0x3c75da7eb200,451,"JumpIfToBooleanTrueConstant"
code-creation,BytecodeHandler,2,0x3c75da7eb3e0,451,"JumpIfToBooleanFalseConstant"
code-creation,BytecodeHandler,2,0x3c75da7eb5c0,443,"JumpIfToBooleanTrue"
tick,0x7fd9f8bd1e4e,160714,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7eb780,439,"JumpIfToBooleanFalse"
code-creation,BytecodeHandler,2,0x3c75da7eb940,287,"JumpIfTrue"
code-creation,BytecodeHandler,2,0x3c75da7eba60,287,"JumpIfFalse"
code-creation,BytecodeHandler,2,0x3c75da7ebb80,287,"JumpIfNull"
code-creation,BytecodeHandler,2,0x3c75da7ebca0,287,"JumpIfUndefined"
code-creation,BytecodeHandler,2,0x3c75da7ebdc0,351,"JumpIfJSReceiver"
code-creation,BytecodeHandler,2,0x3c75da7ebf20,287,"JumpIfNotHole"
code-creation,BytecodeHandler,2,0x3c75da7ec040,611,"ForInPrepare"
code-creation,BytecodeHandler,2,0x3c75da7ec2c0,164,"ForInContinue"
code-creation,BytecodeHandler,2,0x3c75da7ec380,323,"ForInNext"
code-creation,BytecodeHandler,2,0x3c75da7ec4e0,148,"ForInStep"
code-creation,BytecodeHandler,2,0x3c75da7ec580,263,"StackCheck"
code-creation,BytecodeHandler,2,0x3c75da7ec6a0,136,"SetPendingMessage"
code-creation,BytecodeHandler,2,0x3c75da7ec740,242,"Throw"
code-creation,BytecodeHandler,2,0x3c75da7ec840,242,"ReThrow"
code-creation,BytecodeHandler,2,0x3c75da7ec940,219,"Return"
tick,0xbf471b,161818,0,(nil),4
code-creation,Stub,3,0x3c75da7eca20,2247,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7ed300,624,"SuspendGenerator"
code-creation,Stub,3,0x3c75da7ed580,1416,"RecordWriteStub"
code-creation,Stub,3,0x3c75da7edb20,1373,"RecordWriteStub"
code-creation,BytecodeHandler,2,0x3c75da7ee080,332,"ResumeGenerator"
code-creation,BytecodeHandler,2,0x3c75da7ee1e0,215,"Debugger"
code-creation,BytecodeHandler,2,0x3c75da7ee2c0,368,"DebugBreak0"
code-creation,BytecodeHandler,2,0x3c75da7ee440,368,"DebugBreak1"
code-creation,BytecodeHandler,2,0x3c75da7ee5c0,368,"DebugBreak2"
code-creation,BytecodeHandler,2,0x3c75da7ee740,368,"DebugBreak3"
code-creation,BytecodeHandler,2,0x3c75da7ee8c0,368,"DebugBreak4"
code-creation,BytecodeHandler,2,0x3c75da7eea40,368,"DebugBreak5"
code-creation,BytecodeHandler,2,0x3c75da7eebc0,368,"DebugBreak6"
code-creation,BytecodeHandler,2,0x3c75da7eed40,368,"DebugBreakWide"
code-creation,BytecodeHandler,2,0x3c75da7eeec0,368,"DebugBreakExtraWide"
code-creation,BytecodeHandler,2,0x3c75da7ef040,171,"Illegal"
code-creation,BytecodeHandler,2,0x3c75da7ef100,120,"Nop"
code-creation,BytecodeHandler,2,0x3c75da7ef180,132,"LdaSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7ef220,136,"LdaConstant.Wide"
tick,0xce7809,162898,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7ef2c0,1200,"LdaGlobal.Wide"
code-creation,BytecodeHandler,2,0x3c75da7ef780,1184,"LdaGlobalInsideTypeof.Wide"
code-creation,BytecodeHandler,2,0x3c75da7efc20,275,"StaGlobalSloppy.Wide"
code-creation,BytecodeHandler,2,0x3c75da7efd40,275,"StaGlobalStrict.Wide"
code-creation,BytecodeHandler,2,0x3c75da7efe60,140,"PushContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7eff00,136,"PopContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7effa0,184,"LdaContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0060,184,"LdaImmutableContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0120,140,"LdaCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f01c0,140,"LdaImmutableCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0260,244,"StaContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0360,196,"StaCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0440,239,"LdaLookupSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0540,339,"LdaLookupContextSlot.Wide"
tick,0xc3787a,163979,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f06a0,1368,"LdaLookupGlobalSlot.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0c00,239,"LdaLookupSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0d00,339,"LdaLookupContextSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f0e60,1348,"LdaLookupGlobalSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f13c0,239,"StaLookupSlotSloppy.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f14c0,239,"StaLookupSlotStrict.Wide"
tick,0xf72341,165061,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f15c0,132,"Ldar.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1660,132,"Star.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1700,144,"Mov.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f17a0,255,"LdaNamedProperty.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f18a0,259,"LdaKeyedProperty.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f19c0,224,"LdaModuleVariable.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1aa0,379,"StaModuleVariable.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1c20,279,"StaNamedPropertySloppy.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1d40,279,"StaNamedPropertyStrict.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1e60,279,"StaNamedOwnProperty.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f1f80,271,"StaKeyedPropertySloppy.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f20a0,271,"StaKeyedPropertyStrict.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f21c0,299,"StaDataPropertyInLiteral.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f2300,964,"Add.Wide"
tick,0xcbf05b,166144,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f26e0,720,"Sub.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f29c0,1128,"Mul.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f2e40,928,"Div.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f31e0,1088,"Mod.Wide"
tick,0xce7a62,167214,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f3620,840,"BitwiseOr.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f3980,840,"BitwiseXor.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f3ce0,840,"BitwiseAnd.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f4040,856,"ShiftLeft.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f43a0,856,"ShiftRight.Wide"
tick,0xccd82d,168283,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f4700,1088,"ShiftRightLogical.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f4b40,327,"AddSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f4ca0,327,"SubSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f4e00,524,"BitwiseOrSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5020,524,"BitwiseAndSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5240,528,"ShiftLeftSmi.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5460,528,"ShiftRightSmi.Wide"
tick,0x7fd9f8bd6212,169341,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f5680,656,"Inc.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5920,660,"Dec.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5bc0,235,"DeletePropertyStrict.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5cc0,235,"DeletePropertySloppy.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5dc0,223,"GetSuperConstructor.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f5ea0,1412,"Call.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f6440,1412,"CallProperty.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f69e0,223,"CallWithSpread.Wide"
tick,0x7fd9f8bd6212,170721,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f6ac0,1412,"TailCall.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7060,235,"CallRuntime.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7160,267,"CallRuntimeForPair.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7280,231,"CallJSRuntime.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7380,1452,"InvokeIntrinsic.Wide"
tick,0xc865ff,171770,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f7940,1408,"Construct.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7ec0,231,"ConstructWithSpread.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f7fc0,2424,"TestEqual.Wide"
tick,0xcfcd70,172829,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f8940,2376,"TestNotEqual.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f92a0,843,"TestEqualStrict.Wide"
tick,0xc2e352,173882,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7f9600,1540,"TestLessThan.Wide"
code-creation,BytecodeHandler,2,0x3c75da7f9c20,1540,"TestGreaterThan.Wide"
tick,0xc1f811,174984,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7fa240,1540,"TestLessThanOrEqual.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fa860,1540,"TestGreaterThanOrEqual.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fae80,680,"TestInstanceOf.Wide"
tick,0xcfcca3,176023,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7fb140,1907,"TestIn.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fb8c0,168,"TestUndetectable.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fb980,156,"TestNull.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fba20,156,"TestUndefined.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fbac0,350,"ToName.Wide"
tick,0xeb070b,177078,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7fbc20,533,"ToNumber.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fbe40,227,"ToObject.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fbf40,458,"CreateRegExpLiteral.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fc120,1520,"CreateArrayLiteral.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fc720,660,"CreateObjectLiteral.Wide"
tick,0x1268319,178134,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7fc9c0,800,"CreateClosure.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fcce0,227,"CreateBlockContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fcde0,263,"CreateCatchContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fcf00,412,"CreateFunctionContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd0a0,412,"CreateEvalContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd240,243,"CreateWithContext.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd340,484,"JumpLoop.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd540,255,"Jump.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd640,263,"JumpConstant.Wide"
tick,0x7fd9f8bd1e4e,179186,0,(nil),4
code-creation,BytecodeHandler,2,0x3c75da7fd760,295,"JumpIfNullConstant.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd8a0,295,"JumpIfUndefinedConstant.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fd9e0,295,"JumpIfTrueConstant.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fdb20,295,"JumpIfFalseConstant.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fdc60,311,"JumpIfJSReceiverConstant.Wide"
code-creation,BytecodeHandler,2,0x3c75da7fdda0,295,"JumpIfNotHoleConstant.Wide"
